Xe, Dieterici eos, values of parameters a and b are close to those in Table 12
Dieterici
   10. 0.001
temp  200.000 K
cm^3/mol torr
    1.26938473282443E+04    9.62060041803576E+02
    1.25976818181818E+04    9.69095628677484E+02
    1.25029624060150E+04    9.76665937814753E+02
    1.24096567164179E+04    9.83506575982675E+02
    1.23177333333333E+04    9.90536547938310E+02
    1.22271617647059E+04    9.97901709491579E+02
    1.21379124087591E+04    1.00507450708584E+03
    1.20499565217391E+04    1.01260936621386E+03
    1.19632661870504E+04    1.01977017151547E+03
    1.18778142857143E+04    1.02657238153986E+03
    1.17935744680851E+04    1.03420455654564E+03
    1.17105211267606E+04    1.04141747476992E+03
    1.16286293706294E+04    1.04874309929926E+03
    1.15478750000000E+04    1.05561718648534E+03
    1.14682344827586E+04    1.06269165186458E+03
    1.13896849315069E+04    1.06931655259964E+03
    1.13122040816327E+04    1.07715604861139E+03
    1.12357702702703E+04    1.08455516328536E+03
    1.11603624161074E+04    1.09143005040242E+03
    1.10859600000000E+04    1.09838750018423E+03
    1.10125430463576E+04    1.10544162242429E+03
    1.09400921052632E+04    1.11255748507851E+03
    1.08685882352941E+04    1.12012593508765E+03
    1.07980129870130E+04    1.12720862307927E+03
    1.07283483870968E+04    1.13378029896283E+03
    1.06595769230769E+04    1.14141368613017E+03
    1.05916815286624E+04    1.14821679201434E+03
    1.05246455696203E+04    1.15495585962302E+03
    1.04584528301887E+04    1.16208987607135E+03
    1.03930875000000E+04    1.16925060819203E+03
    1.03285341614907E+04    1.17707377311595E+03
    1.02647777777778E+04    1.18347013884646E+03
    1.02018036809816E+04    1.19093098476104E+03
    1.01395975609756E+04    1.19856030677941E+03
    1.00781454545455E+04    1.20553171234785E+03
    1.00174337349398E+04    1.21276820236499E+03
    9.95744910179641E+03    1.21926621368579E+03
    9.89817857142857E+03    1.22622805695163E+03
    9.83960946745562E+03    1.23395078536810E+03
    9.78172941176471E+03    1.24078804233307E+03
    9.72452631578947E+03    1.24737562955711E+03
    9.66798837209302E+03    1.25446674048194E+03
    9.61210404624278E+03    1.26167072062254E+03
    9.55686206896552E+03    1.26858986237385E+03
    9.50225142857143E+03    1.27612654209364E+03
    9.44826136363636E+03    1.28360497379424E+03
    9.39488135593220E+03    1.29056639162521E+03
    9.34210112359550E+03    1.29756870338997E+03
    9.28991061452514E+03    1.30512793648636E+03
    9.23830000000000E+03    1.31232239176499E+03
    9.18725966850829E+03    1.31922521496796E+03
    9.13678021978022E+03    1.32625567740620E+03
    9.08685245901639E+03    1.33259257600698E+03
    9.03746739130435E+03    1.33989845372887E+03
    8.98861621621622E+03    1.34693045284438E+03
    8.94029032258064E+03    1.35373834271069E+03
    8.89248128342246E+03    1.36078931203717E+03
    8.84518085106383E+03    1.36802355360917E+03
    8.79838095238095E+03    1.37478190517408E+03
    8.75207368421053E+03    1.38276803877750E+03
    8.70625130890052E+03    1.39009957508186E+03
    8.66090625000000E+03    1.39620257180856E+03
    8.61603108808290E+03    1.40327144469820E+03
    8.57161855670103E+03    1.41076973312684E+03
    8.52766153846154E+03    1.41786932418191E+03
    8.48415306122449E+03    1.42524616153516E+03
    8.44108629441624E+03    1.43099552448820E+03
    8.39845454545455E+03    1.43868780019147E+03
    8.35625125628141E+03    1.44554556863207E+03
    8.31447000000000E+03    1.45311732500650E+03
    8.27310447761194E+03    1.45954533909022E+03
    8.23214851485149E+03    1.46631527617245E+03
    8.19159605911330E+03    1.47344026591133E+03
    8.15144117647059E+03    1.48091144425394E+03
    8.11167804878049E+03    1.48785902797696E+03
    8.07230097087379E+03    1.49542840260926E+03
    8.03330434782609E+03    1.50157369293319E+03
    7.99468269230769E+03    1.50938286534890E+03
    7.95643062200957E+03    1.51649329890092E+03
    7.91854285714286E+03    1.52307803855894E+03
    7.88101421800948E+03    1.52960862281131E+03
    7.84383962264151E+03    1.53747602497697E+03
    7.80701408450704E+03    1.54458042191460E+03
    7.77053271028037E+03    1.55070318538066E+03
    7.73439069767442E+03    1.55781106692572E+03
    7.69858333333333E+03    1.56567112861593E+03
    7.66310599078341E+03    1.57197155720403E+03
    7.62795412844037E+03    1.57913888128152E+03
    7.59312328767123E+03    1.58546324049948E+03
    7.55860909090909E+03    1.59254192694972E+03
    7.52440723981900E+03    1.60012077230928E+03
    7.49051351351351E+03    1.60762229433327E+03
    7.45692376681614E+03    1.61415736155220E+03
    7.42363392857143E+03    1.62081612885462E+03
    7.39064000000000E+03    1.62833199106263E+03
    7.35793805309734E+03    1.63450660160400E+03
    7.32552422907489E+03    1.64144299242311E+03
    7.29339473684211E+03    1.64921716540794E+03
    7.26154585152838E+03    1.65580243666997E+03
    7.22997391304348E+03    1.66294546253318E+03
    7.19867532467533E+03    1.66884340873141E+03
    7.16764655172414E+03    1.67695848258276E+03
    7.13688412017167E+03    1.68383371730396E+03
    7.10638461538462E+03    1.69096638300004E+03
    7.07614468085106E+03    1.69798759573456E+03
    7.04616101694915E+03    1.70460430357292E+03
    7.01643037974684E+03    1.71177466758533E+03
    6.98694957983193E+03    1.71784249526833E+03
    6.95771548117155E+03    1.72492845826832E+03
    6.92872500000000E+03    1.73284103394351E+03
    6.89997510373444E+03    1.73969719865510E+03
    6.87146280991736E+03    1.74566575158718E+03
    6.84318518518519E+03    1.75340058465412E+03
    6.81513934426230E+03    1.76065010126681E+03
    6.78732244897959E+03    1.76703413004351E+03
    6.75973170731707E+03    1.77332856171414E+03
    6.73236437246963E+03    1.78045430953194E+03
    6.70521774193548E+03    1.78776693825867E+03
    6.67828915662651E+03    1.79547358214420E+03
    6.65157600000000E+03    1.80191328354805E+03
    6.62507569721116E+03    1.80833268776702E+03
    6.59878571428571E+03    1.81569138344680E+03
    6.57270355731225E+03    1.82160079796716E+03
